"","file","roi","corrtype","hemi","cb_idx","nvoxels","t"
"58","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","right_mVIIIb","159","12.77"
"59","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","left_mVIIIb","183","12.79"
"60","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","left_lVIIIb","159","9.23"
"61","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","left_VIIb","159","13.29"
"62","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","right_VIIb","124","13.64"
"63","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","left_mOMV","32","12.19"
"64","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","left_lOMV","67","10.23"
"65","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","right_mOMV","17","9.63"
"66","perm_vsm4_IPS0_lh_pearson_tstat1.nii","IPS0","pearson","lh","right_lOMV","38","9.88"
"67","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","Unassigned","901616","0.07"
"68","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","right_lVIIIb","75","9.35"
"69","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","right_mVIIIb","159","11.88"
"70","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","left_mVIIIb","183","11.99"
"71","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","left_lVIIIb","159","8.7"
"72","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","left_VIIb","159","13.41"
"73","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","right_VIIb","124","13.05"
"74","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","left_mOMV","32","11.77"
"75","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","left_lOMV","67","9.77"
"76","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","right_mOMV","17","9.36"
"77","perm_vsm4_IPS0_rh_pearson_tstat1.nii","IPS0","pearson","rh","right_lOMV","38","9.46"
"78","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","Unassigned","901616","0.08"
"79","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","right_lVIIIb","75","10.77"
"80","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","right_mVIIIb","159","13.3"
"81","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","left_mVIIIb","183","13.37"
"82","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","left_lVIIIb","159","9.78"
"83","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","left_VIIb","159","14.32"
"84","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","right_VIIb","124","14.27"
"85","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","left_mOMV","32","12.72"
"86","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","left_lOMV","67","10.6"
"87","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","right_mOMV","17","10.13"
"88","perm_vsm4_IPS0_bilat_pearson_tstat1.nii","IPS0","pearson","bilat","right_lOMV","38","10.32"
"89","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","Unassigned","901616","0.05"
"90","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","right_lVIIIb","75","6.08"
"91","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","right_mVIIIb","159","6.63"
"92","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","left_mVIIIb","183","5.9"
"93","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","left_lVIIIb","159","4.65"
"94","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","left_VIIb","159","5.62"
"95","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","right_VIIb","124","6.65"
"96","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","left_mOMV","32","6.31"
"97","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","left_lOMV","67","5.37"
"98","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","right_mOMV","17","4.89"
"99","perm_vsm4_IPS0_lh_partial_tstat1.nii","IPS0","partial","lh","right_lOMV","38","4.95"
"100","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","Unassigned","901616","0.02"
"101","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","right_lVIIIb","75","2.57"
"102","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","right_mVIIIb","159","3.74"
"103","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","left_mVIIIb","183","4.6"
"104","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","left_lVIIIb","159","2.91"
"105","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","left_VIIb","159","6.3"
"106","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","right_VIIb","124","5.39"
"107","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","left_mOMV","32","5.43"
"108","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","left_lOMV","67","4.5"
"109","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","right_mOMV","17","4.12"
"110","perm_vsm4_IPS0_rh_partial_tstat1.nii","IPS0","partial","rh","right_lOMV","38","4.14"
"111","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","Unassigned","901616","0.09"
